,feature 1,feature 2,group
174,451301.0,8801.0,age >90
175,258680.0,23841.0,age >90
176,151611.0,23461.0,age >90
177,411269.0,11185.0,age >90
178,474532.0,11470.0,age >90
179,249755.0,17420.0,age >90
180,470870.0,6972.0,age >90
181,242346.0,6957.0,age >90
182,485994.0,9445.0,age >90
183,147582.0,14241.0,age >90
184,665670.0,6071.0,age >90
185,257310.0,11027.0,age >90
186,331298.0,8386.0,age >90
187,131812.0,16583.0,age >90
188,1007039.0,14126.0,age >90
189,290755.0,16925.0,age >90
190,142627.0,6791.0,age >90
191,930054.0,5006.0,age >90
192,81747.0,10978.0,age >90
193,172115.0,13405.0,age >90
194,286394.0,12823.0,age >90
195,121335.0,17876.0,age >90
196,280988.0,18565.0,age >90
197,46614.0,10172.0,age >90
198,106096.0,14236.0,age >90
199,37801.0,15825.0,age >90
200,536052.0,21966.0,age >90
201,2621598.0,6659.0,age >90
202,1172222.0,8842.0,age >90
203,254644.0,8434.0,age >90
204,81010.0,10491.0,age >90
205,208068.0,21721.0,age >90
206,174364.0,13903.0,age >90
207,85184.0,12827.0,age >90
208,573006.0,8064.0,age >90
209,317513.0,21510.0,age >90
210,480548.0,11263.0,age >90
211,462728.0,8487.0,age >90
212,67406.0,21678.0,age >90
213,353559.0,13893.0,age >90
214,41358.0,12633.0,age >90
215,186202.0,21921.0,age >90
216,170472.0,19538.0,age >90
217,99936.0,11495.0,age >90
218,1005747.0,8221.0,age >90
219,149412.0,6893.0,age >90
220,341978.0,11406.0,age >90
221,526484.0,7359.0,age >90
222,60000.0,19995.0,age >90
223,285681.0,16169.0,age >90
224,392197.0,14385.0,age >90
225,213134.0,10919.0,age >90
226,138709.0,15482.0,age >90
227,202582.0,11190.0,age >90
228,444414.0,19339.0,age >90
229,117372.0,17513.0,age >90
230,78642.0,15101.0,age >90
231,135454.0,8958.0,age >90
232,674186.0,9217.0,age >90
233,645029.0,10029.0,age >90
234,314693.0,8736.0,age >90
235,421957.0,11793.0,age >90
236,46385.0,16268.0,age >90
237,815248.0,7185.0,age >90
238,507174.0,8598.0,age >90
239,299157.0,9600.0,age >90
240,575193.0,14974.0,age >90
241,220004.0,8095.0,age >90
242,532046.0,9581.0,age >90
243,218811.0,17891.0,age >90
244,208707.0,10301.0,age >90
245,1379397.0,11399.0,age >90
246,318628.0,13028.0,age >90
247,691928.0,7917.0,age >90
248,903159.0,7645.0,age >90
249,1009623.0,6401.0,age >90
250,143345.0,15097.0,age >90
251,231123.0,12769.0,age >90
252,466231.0,7907.0,age >90
253,143930.0,7368.0,age >90
254,450261.0,15158.0,age >90
255,334543.0,11433.0,age >90
256,319680.0,10629.0,age >90
257,154758.0,14715.0,age >90
258,97116.0,11487.0,age >90
259,108180.0,12085.0,age >90
260,470314.0,11365.0,age >90
261,241670.0,15116.0,age >90
262,161834.0,12276.0,age >90
263,248852.0,6597.0,age >90
264,15457.0,6375.0,age >90
265,166481.0,8954.0,age >90
266,195200.0,20476.0,age >90
267,497575.0,14316.0,age >90
268,237393.0,4639.0,age >90
269,323462.0,8757.0,age >90
270,120807.0,12239.0,age >90
271,636800.0,8411.0,age >90
272,38766.0,6538.0,age >90
273,226324.0,17122.0,age >90
274,95814.0,6563.0,age >90
275,1406591.0,7529.0,age >90
276,55296.0,10259.0,age >90
277,189927.0,9686.0,age >90
278,361193.0,5380.0,age >90
279,362175.0,11851.0,age >90
280,579736.0,12427.0,age >90
281,262510.0,12449.0,age >90
282,239564.0,13819.0,age >90
283,146459.0,13006.0,age >90
284,97868.0,13403.0,age >90
285,258414.0,8332.0,age >90
286,309017.0,8231.0,age >90
287,490518.0,10206.0,age >90
288,368142.0,11785.0,age >90
289,260437.0,8487.0,age >90
290,462384.0,12621.0,age >90
291,71653.0,9907.0,age >90
292,246864.0,11236.0,age >90
293,797457.0,9833.0,age >90
294,185704.0,8459.0,age >90
295,160209.0,9804.0,age >90
296,540970.0,14342.0,age >90
297,141894.0,12782.0,age >90
298,235373.0,19906.0,age >90
299,314283.0,10701.0,age >90
300,201454.0,19606.0,age >90
301,57968.0,13268.0,age >90
302,60270.0,18174.0,age >90
303,166740.0,9709.0,age >90
304,171581.0,9703.0,age >90
305,143767.0,14024.0,age >90
306,69071.0,17247.0,age >90
307,305923.0,10417.0,age >90
308,337043.0,9878.0,age >90
309,349521.0,10868.0,age >90
310,417907.0,12606.0,age >90
311,168465.0,6296.0,age >90
312,22242.0,16047.0,age >90
313,214086.0,21846.0,age >90
314,152019.0,13334.0,age >90
315,114614.0,26107.0,age >90
316,107305.0,11840.0,age >90
317,60747.0,8346.0,age >90
318,189811.0,14919.0,age >90
319,94624.0,9139.0,age >90
320,146367.0,11755.0,age >90
321,199218.0,28977.0,age >90
322,863527.0,9223.0,age >90
