,Class,Lipid,"log2 Fold-Change, brain region 1","log2 Fold-Change, brain region 2",color
324,PC,PC 56:9|PC 20:4_36:5,-0.0698963809201878,-0.066486723123873,#f032e6
325,PC,PC 56:8,0.0155290868532525,0.237844578678903,#f032e6
326,PC,PC 58:12|PC 22:6_36:6,-0.197089684113255,-0.000696382091554426,#f032e6
327,PC,PC 58:10|PC 20:4_38:6,-0.00299884405769291,0.21334145523333,#f032e6
328,PC,PC 60:12|PC 22:6_38:6,-0.136206736170511,0.130068607312946,#f032e6
329,PC,PC 60:10|PC 20:4_40:6,0.0213453681348597,0.266900594107423,#f032e6
331,CL,CL 72:8|CL 16:1_18:1_18:2_20:4,-0.585434640446476,-0.00584943404879823,#800000
332,CL,CL 74:11|CL 16:1_20:4_18:2_20:4,-0.214071613366446,0.274088465477405,#800000
333,CL,CL 74:10|CL 16:1_20:4_18:1_20:4,0.0784595256471263,0.0222062749335805,#800000
334,CL,CL 74:9|CL 18:1_18:2_18:2_20:4,0.062082665879327,0.353996470742835,#800000
335,CL,CL 76:12|CL 18:2_20:4_18:2_20:4,-0.0508057950100529,0.403713826093313,#800000
336,CL,CL 76:11|CL 18:1_20:4_18:2_20:4,-0.093421534960612,0.0579205571237047,#800000
337,CL,CL 78:14|CL 18:2_20:4_20:4_20:4,-0.0909234756519268,0.0301032764837359,#800000
338,CL,CL 78:13|CL 18:1_20:4_18:2_22:6,0.164395018267413,0.191397226098044,#800000
339,CL,CL 78:12|CL 18:1_20:4_18:1_22:6,-0.0375176619255235,0.0282500414683504,#800000
340,CL,CL 80:17|CL 38:7_42:10,-0.14774777099332,0.178827493730569,#800000
341,CL,CL 80:15|CL 18:1_22:6_18:2_22:6,0.169554706567133,0.0837055927351393,#800000
342,CL,CL 82:17|CL 18:1_22:6_20:4_22:6,-0.227585531224147,0.187980065734205,#800000
343,CL,CL 84:19|CL 18:1_22:6_22:6_22:6,0.0451221851088626,0.150326466905771,#800000
344,CL,CL 88:24|CL 22:6_22:6_22:6_22:6,0.0222526569290622,0.263040479467687,#800000
